0,N,1,0,0
1,N,2,0,0
2,S,1,0,0
2,N,3,0,0
3,S,2,0,0
3,N,4,15,0
4,S,3,0,0
4,N,5,0,0
4,W,6,0,0
5,W,7,0,15
7,S,6,0,0
6,U,7,0,0
7,N,8,0,0
7,E,9,0,0
7,W,10,0,0
8,N,11,0,0
8,S,7,0,0
9,W,7,0,0
9,E,12,0,0
9,N,13,0,0
13,E,18,0,0
13,S,7,0,0
10,E,7,0,0
13,N,17,0,0
10,W,14,0,0
14,W,16,0,0
10,N,15,0,0
15,W,14,0,0
11,N,16,10,0
16,S,17,0,0
11,S,8,0,0
11,E,17,0,0
17,S,9,0,0
17,W,11,0,0
17,N,18,0,0
12,W,9,0,0
12,E,18,0,0
18,W,12,0,0
18,N,19,0,0
12,S,9,0,0
14,E,10,0,0
14,W,19,0,0
19,E,14,0,0
19,W,20,0,0
20,N,21,0,0
20,S,22,0,0
21,N,23,0,0
21,S,20,0,0
22,N,20,0,0
22,S,24,0,0
23,S,24,0,0
24,S,25,0,0
25,S,26,0,0
26,S,27,0,0
27,S,28,0,0
28,S,29,0,0
29,S,30,0,0
30,S,31,0,0
30,E,32,0,0
30,W,33,0,0
31,S,34,0,0
32,E,35,0,0
33,W,36,0,0
34,N,31,0,0
34,S,37,0,0
34,E,38,0,0
37,N,34,0,0
37,S,35,0,0
38,W,34,0,0
38,S,36,0,0
35,E,36,0,20
36,W,39,15,0
39,W,40,0,0
40,E,39,0,0
40,W,41,0,0
41,E,40,0,0
41,N,42,0,0
43,U,77,0,0
42,N,44,0,0
42,E,45,0,0
42,W,46,0,0
44,S,42,0,0
45,W,42,0,0
44,N,47,0,0
47,S,44,0,20
45,E,48,0,0
48,W,45,0,0
46,W,49,0,0
49,N,61,15,0
49,E,60,15,0
47,N,50,0,20
50,E,51,0,0
50,W,52,0,0
51,E,53,20,0
51,U,54,20,0
51,D,55,20,0
53,W,51,0,0
54,D,51,0,0
55,U,51,0,0
53,N,56,0,0
54,N,57,0,0
55,E,58,0,0
58,N,59,0,0
57,N,59,0,0
56,N,51,0,0
48,N,49,0,0
48,E,50,0,0
61,E,62,0,0
61,U,63,0,0
61,D,64,0,0
60,D,65,0,0
60,U,66,0,0
62,W,61,0,0
63,D,61,0,0
64,U,61,0,0
65,U,60,0,0
66,D,60,0,0
62,E,67,0,0
67,W,62,0,0
62,U,68,0,0
67,N,50,0,0
68,N,50,0,0
63,N,69,0,0
63,U,70,0,0
69,N,59,0,0
70,N,59,0,0
64,U,70,0,0
65,E,69,0,0
66,N,59,0,0
52,U,71,0,0
52,S,72,0,0
52,N,73,0,0
71,D,52,0,0
72,N,52,0,0
73,S,52,0,0
71,N,74,0,0
72,E,75,0,0
73,E,76,0,0
74,S,71,0,0
75,W,72,0,0
76,W,73,0,0
74,N,59,0,0
75,N,59,0,0
76,N,59,0,0
59,N,78,50,0
78,N,79,0,100
79,N,80,100,0
